,person,state,district,vote,name,party,session
72,412491,FL,,Not Voting,Sen. Marco Rubio [R],Republican,1
73,412492,KY,,Yea,Sen. Rand Paul [R],Republican,1
74,412494,ND,,Yea,Sen. John Hoeven [R],Republican,1
75,412495,UT,,Yea,Sen. Mike Lee [R],Republican,1
76,412496,WI,,Yea,Sen. Ron Johnson [R],Republican,1
77,412507,HI,,Yea,Sen. Brian Schatz [D],Democrat,1
78,412508,AR,,Yea,Sen. Tom Cotton [R],Republican,1
79,412533,IL,,Yea,Sen. Tammy Duckworth [D],Democrat,1
80,412542,MA,,Nay,"Sen. Elizabeth Warren [D, 2013-2024]",Democrat,1
81,412545,ME,,Yea,"Sen. Angus King [I, 2013-2024]",Independent,1
82,412549,MT,,Yea,Sen. Steve Daines [R],Republican,1
83,412554,ND,,Yea,"Sen. Heidi Heitkamp [D, 2013-2018]",Democrat,1
84,412556,NE,,Yea,"Sen. Deb Fischer [R, 2013-2024]",Republican,1
85,412573,TX,,Yea,"Sen. Ted Cruz [R, 2013-2024]",Republican,1
86,412582,VA,,Yea,"Sen. Timothy “Tim” Kaine [D, 2013-2024]",Democrat,1
87,412598,NJ,,Nay,Sen. Cory Booker [D],Democrat,1
88,412665,AK,,Yea,Sen. Dan Sullivan [R],Republican,1
89,412666,GA,,Not Voting,Sen. David Perdue [R],Republican,1
90,412667,IA,,Yea,Sen. Joni Ernst [R],Republican,1
91,412668,NC,,Yea,Sen. Thom Tillis [R],Republican,1
92,412669,SD,,Yea,Sen. Mike Rounds [R],Republican,1
93,412671,NE,,Yea,Sen. Benjamin Sasse [R],Republican,1
94,412678,CA,,Nay,Sen. Kamala Harris [D],Democrat,1
95,412679,LA,,Yea,Sen. John Kennedy [R],Republican,1
96,412680,NH,,Yea,Sen. Margaret “Maggie” Hassan [D],Democrat,1
97,412681,NV,,Yea,Sen. Catherine Cortez Masto [D],Democrat,1
98,412741,AL,,Yea,Sen. Doug Jones [D],Democrat,1
99,412742,MN,,Yea,"Sen. Tina Smith [D, 2018-2020]",Democrat,1
100,300002,TN,,Not Voting,Sen. Lamar Alexander [R],Republican,2
101,300018,WA,,Yea,"Sen. Maria Cantwell [D, 2001-2024]",Democrat,2
102,300019,DE,,Yea,"Sen. Thomas Carper [D, 2001-2024]",Democrat,2
103,300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican,2
104,300025,ME,,Yea,Sen. Susan Collins [R],Republican,2
105,300027,TX,,Yea,Sen. John Cornyn [R],Republican,2
106,300030,ID,,Yea,Sen. Michael Crapo [R],Republican,2
107,300038,IL,,Yea,Sen. Richard Durbin [D],Democrat,2
108,300041,WY,,Yea,Sen. Michael Enzi [R],Republican,2
109,300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2024]",Democrat,2
110,300047,SC,,Yea,Sen. Lindsey Graham [R],Republican,2
111,300048,IA,,Yea,Sen. Charles “Chuck” Grassley [R],Republican,2
112,300052,UT,,Yea,"Sen. Orrin Hatch [R, 1977-2018]",Republican,2
113,300055,OK,,Yea,Sen. James “Jim” Inhofe [R],Republican,2
114,300065,VT,,Yea,Sen. Patrick Leahy [D],Democrat,2
115,300071,AZ,,Not Voting,"Sen. John McCain [R, 1987-2018]",Republican,2
116,300072,KY,,Yea,Sen. Mitch McConnell [R],Republican,2
117,300075,AK,,Yea,Sen. Lisa Murkowski [R],Republican,2
118,300076,WA,,Yea,Sen. Patty Murray [D],Democrat,2
119,300078,FL,,Yea,"Sen. Bill Nelson [D, 2001-2018]",Democrat,2
120,300081,RI,,Yea,Sen. John “Jack” Reed [D],Democrat,2
121,300083,KS,,Not Voting,Sen. Pat Roberts [R],Republican,2
122,300087,NY,,Yea,Sen. Charles “Chuck” Schumer [D],Democrat,2
123,300089,AL,,Yea,Sen. Richard Shelby [R],Republican,2
124,300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat,2
125,300100,OR,,Yea,Sen. Ron Wyden [D],Democrat,2
126,400013,WI,,Yea,"Sen. Tammy Baldwin [D, 2013-2024]",Democrat,2
127,400034,MO,,Yea,Sen. Roy Blunt [R],Republican,2
128,400040,AR,,Yea,Sen. John Boozman [R],Republican,2
129,400050,OH,,Yea,"Sen. Sherrod Brown [D, 2007-2024]",Democrat,2
130,400054,NC,,Yea,Sen. Richard Burr [R],Republican,2
131,400061,WV,,Yea,Sen. Shelley Capito [R],Republican,2
132,400064,MD,,Yea,"Sen. Benjamin Cardin [D, 2007-2024]",Democrat,2
133,400134,AZ,,Yea,"Sen. Jeff Flake [R, 2013-2018]",Republican,2
134,400194,GA,,Not Voting,Sen. John “Johnny” Isakson [R],Republican,2
135,400253,MA,,Yea,Sen. Edward “Ed” Markey [D],Democrat,2
136,400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat,2
137,400284,KS,,Yea,Sen. Jerry Moran [R],Republican,2
138,400325,OH,,Yea,Sen. Robert “Rob” Portman [R],Republican,2
139,400357,VT,,Yea,"Sen. Bernard “Bernie” Sanders [I, 2007-2024]",Independent,2
140,400408,PA,,Not Voting,Sen. Patrick “Pat” Toomey [R],Republican,2
141,400413,NM,,Yea,Sen. Tom Udall [D],Democrat,2
142,400415,MD,,Yea,Sen. Chris Van Hollen Jr. [D],Democrat,2
143,400432,MS,,Yea,"Sen. Roger Wicker [R, 2007-2024]",Republican,2
144,400546,SD,,Yea,Sen. John Thune [R],Republican,2
145,412194,CT,,Yea,"Sen. Christopher Murphy [D, 2013-2024]",Democrat,2
146,412200,HI,,Nay,"Sen. Mazie Hirono [D, 2013-2024]",Democrat,2
147,412205,IN,,Not Voting,"Sen. Joe Donnelly [D, 2013-2018]",Democrat,2
148,412218,NV,,Yea,"Sen. Dean Heller [R, 2011-2018]",Republican,2
149,412223,NY,,Yea,"Sen. Kirsten Gillibrand [D, 2009-2024]",Democrat,2
150,412242,MN,,Yea,"Sen. Amy Klobuchar [D, 2007-2018]",Democrat,2
151,412243,MO,,Yea,"Sen. Claire McCaskill [D, 2007-2018]",Democrat,2
152,412244,MT,,Not Voting,"Sen. Jon Tester [D, 2007-2024]",Democrat,2
